기준일자	시도	시군구	아파트	억대	매매가
20241231	서울시	서초구	서초구 반포동 아크로리버파크 59㎡(계/3/2)	35.5	359000
20241231	서울시	서초구	서초구 반포동 래미안원베일리 59㎡(계/3/2)	35.5	359000
20241231	서울시	서초구	서초구 반포동 래미안퍼스티지 59㎡(계/3/2)	32	320000
20241231	서울시	서초구	서초구 반포동 반포힐스테이트 59㎡(계/3/2)	31	310000
20241231	서울시	서초구	서초구 잠원동 반포센트럴자이 59㎡(계/3/2)	31	310000
20241231	서울시	서초구	서초구 반포동 디에이치반포라클라스 59㎡(계/3/2)	30	300000
20241231	서울시	서초구	서초구 잠원동 신반포자이 59㎡(계/3/2)	29	290000
20241231	서울시	서초구	서초구 반포동 반포자이 59㎡(계/3/2)	28.5	289000
20241231	서울시	서초구	서초구 잠원동 래미안신반포리오센트 59㎡(계/3/2)	28	280000
20241231	서울시	서초구	서초구 잠원동 신반포르엘 59㎡(계/3/2)	28	280000
20241231	서울시	서초구	서초구 반포동 반포써밋 59㎡(계/3/2)	27	270000
20241231	서울시	강남구	강남구 대치동 대치아이파크 59㎡(계/3/2)	27	270000
20241231	서울시	서초구	서초구 반포동 반포리체 59㎡(계/3/2)	26.5	269000
20241231	서울시	서초구	서초구 서초동 래미안리더스원 59㎡(계/3/2)	26.5	265000
20241231	서울시	서초구	서초구 서초동 서초그랑자이 59㎡(계/3/2)	26.5	265000
20241231	서울시	강남구	강남구 개포동 개포주공6단지 60㎡(복/2/1)	26	260000
20241231	서울시	강남구	강남구 개포동 개포주공7단지 60㎡(복/2/1)	25.5	258000
20241231	서울시	강남구	강남구 도곡동 개포한신 59㎡(복/3/1)	25	250000
20241231	서울시	강남구	강남구 개포동 디에이치퍼스티어아이파크 59㎡(계/3/2)	24.5	249000
20241231	서울시	서초구	서초구 서초동 서초푸르지오써밋 59㎡(계/3/2)	24.5	248000
20241231	서울시	강남구	강남구 개포동 디에이치아너힐즈 59㎡(계/3/2)	24.5	246000
20241231	서울시	강남구	강남구 역삼동 강남센트럴아이파크 59㎡(계/3/2)	24.5	245000
20241231	서울시	강남구	강남구 개포동 개포자이프레지던스 59㎡(계/3/2)	24	244800
20241231	서울시	성동구	성동구 성수동2가 한강한신 59㎡(계/3/1)	24	240000
20241231	서울시	강남구	강남구 대치동 대치삼성1차 59㎡(복/3/1)	23.5	239000
20241231	서울시	강남구	강남구 역삼동 개나리래미안 59㎡(계/3/2)	23.5	239000
20241231	서울시	서초구	서초구 잠원동 동아 59㎡(계/3/1)	23.5	238000
20241231	서울시	강남구	강남구 역삼동 역삼자이 59㎡(계/3/2)	23.5	235000
20241231	서울시	강남구	강남구 역삼동 래미안그레이튼3차 59㎡(계/3/2)	23.5	235000
20241231	서울시	송파구	송파구 신천동 진주 59㎡(복/2/1)	23.5	235000
20241231	서울시	서초구	서초구 방배동 방배롯데캐슬아르떼 59㎡(계/3/2)	23	230000
20241231	서울시	강남구	강남구 개포동 래미안블레스티지 59㎡(계/3/2)	23	230000
20241231	서울시	서초구	서초구 방배동 방배그랑자이 59㎡(계/3/2)	23	230000
20241231	서울시	강남구	강남구 삼성동 삼성중앙하이츠빌리지 59㎡(계/3/2)	23	230000
20241231	서울시	강남구	강남구 일원동 래미안개포루체하임 59㎡(계/3/2)	22.5	229500
20241231	서울시	강남구	강남구 역삼동 역삼e편한세상 59㎡(계/3/2)	22.5	226000
20241231	서울시	강남구	강남구 역삼동 래미안그레이튼2차 59㎡(계/3/2)	22	224000
20241231	서울시	서초구	서초구 잠원동 신반포청구 59㎡(계/3/1)	22	222000
20241231	서울시	송파구	송파구 잠실동 트리지움 59㎡(계/3/2)	22	220000
20241231	서울시	송파구	송파구 잠실동 잠실엘스 59㎡(계/3/2)	22	220000
20241231	서울시	서초구	서초구 잠원동 동아 59㎡(복/3/1)	22	220000
20241231	서울시	강남구	강남구 역삼동 역삼래미안 59㎡(계/3/2)	21.5	219000
20241231	서울시	강남구	강남구 역삼동 역삼푸르지오 59㎡(계/3/2)	21.5	219000
20241231	서울시	강남구	강남구 도곡동 도곡삼성래미안 59㎡(계/3/1)	21.5	218000
20241231	서울시	강남구	강남구 개포동 개포래미안포레스트 59㎡(계/3/2)	21.5	217500
20241231	서울시	서초구	서초구 서초동 래미안서초스위트 59㎡(계/3/2)	21.5	217000
20241231	서울시	강남구	강남구 청담동 청담현대3차 59㎡(복/3/1)	21	210000
20241231	서울시	송파구	송파구 잠실동 레이크팰리스 59㎡(계/3/2)	20	204000
20241231	서울시	서초구	서초구 반포동 반포푸르지오 58㎡(계/3/1)	20	200000
20241231	서울시	서초구	서초구 반포동 반포푸르지오 59㎡(계/2/1)	20	200000
20241231	서울시	서초구	서초구 반포동 반포푸르지오 59㎡(계/3/1)	20	200000
20241231	서울시	서초구	서초구 반포동 반포미도2차 59㎡(복/2/1)	19.5	199500
20241231	서울시	서초구	서초구 방배동 방배아트자이 59㎡(계/3/2)	19.5	199000
20241231	서울시	서초구	서초구 잠원동 반포한신타워 59㎡(복/2/1)	19.5	198000
20241231	서울시	종로구	종로구 홍파동 경희궁자이2단지 59㎡(계/3/2)	19.5	195000
20241231	서울시	송파구	송파구 가락동 헬리오시티 59㎡(계/3/2)	19.5	195000
20241231	서울시	강남구	강남구 역삼동 동부센트레빌 59㎡(계/3/1)	19.5	195000
20241231	서울시	송파구	송파구 신천동 파크리오 59㎡(계/3/2)	19	194500
20241231	서울시	동작구	동작구 흑석동 아크로리버하임 59㎡(계/3/2)	19	193000
20241231	서울시	강동구	강동구 둔촌동 올림픽파크포레온 59㎡(계/3/2)	18.5	189900
20241231	서울시	서초구	서초구 방배동 방배서리풀e편한세상 59㎡(계/3/1)	18.5	189500
20241231	서울시	영등포구	영등포구 여의도동 시범 60㎡(복/2/1)	18.5	188000
20241231	서울시	강남구	강남구 대치동 대치현대 59㎡(복/2/1)	18.5	187000
20241231	서울시	성동구	성동구 성수동2가 서울숲힐스테이트 57㎡(계/3/2)	18.5	185000
20241231	서울시	강남구	강남구 삼성동 삼성롯데 59㎡(계/3/1)	18.5	185000
20241231	서울시	강남구	강남구 삼성동 풍림1차 59㎡(계/3/1)	18.5	185000
20241231	서울시	용산구	용산구 이촌동 한강대우 60㎡(계/3/1)	18	182000
20241231	서울시	강남구	강남구 삼성동 서광 59㎡(계/3/1)	18	180000
