시도	시군구	읍면동	주택유형	단지명	소재지	입주시기	총세대수	매매시세(3.3㎡)	분양가(3.3㎡)	시공사	lon	lat
서울	강남구	청담동	아파트	루시아청담546더리버	서울 강남구 청담동 53-5	2025-12	26	0	18671	(주)대림	127.053517	37.524479
서울	광진구	광장동	아파트	포제스한강	서울 광진구 광장동 188-2	2025-09	128	0	13233	디엘이앤씨 주식회사	127.1096365	37.5473859
서울	강남구	대치동	아파트	아티드	서울 강남구 대치동 903-29	2024-11	86	0	12693	없음	127.0581306	37.5033433
서울	강남구	역삼동	아파트	상지카일룸블랙	서울 강남구 역삼동 653-3	2024-06	40	0	9395	주식회사 상지카일룸	127.0383406	37.508333
서울	강남구	논현동	아파트	루시아도산208	서울 강남구 논현동 60	2023-07	92	0	8889	DL건설	127.0293266	37.5197091
서울	용산구	서빙고동	아파트	아페르한강	서울 용산구 서빙고동 4-18	2024-02	26	0	8764	없음	126.9929094	37.522651
서울	강남구	삼성동	아파트	위레벤646	서울 강남구 삼성동 78-1	2021-06	108	0	8290	현대아산(주)	127.0578508	37.519629
서울	강남구	논현동	아파트	보타니끄논현	서울 강남구 논현동 218-27	2024-11	71	0	8197	두산건설(주)	127.0353792	37.5119225
서울	서초구	방배동	아파트	엘루크방배서리풀	서울 서초구 방배동 3284	2024-01	60	0	7688	더효종합건설(주)	126.995799	37.4825815
서울	서초구	서초동	아파트	더프레임서초	서울 서초구 서초동 1467-10	2023-08	86	0	7634	금성백조건설	127.0072502	37.4781712
서울	성동구	성수동1가	아파트	오티에르포레	서울 성동구 성수동1가 656-421	2027-07	287	0	7582	포스코이앤씨	127.0460744	37.5429559
서울	강남구	청담동	아파트	청담르엘	서울 강남구 청담동 134-18	2025-11	1261	0	7559	롯데건설(주)	127.0590881	37.5218689
서울	강남구	역삼동	아파트	원에디션강남	서울 강남구 역삼동 653-4	2024-02	275	0	7475	현대엔지니어링(주)	127.0382058	37.5079016
서울	강남구	역삼동	아파트	시티프라디움더강남2차	서울 강남구 역삼동 655-12	2022-11	48	0	7405	(주)시티건설,(주)시티종합건설	127.0382275	37.5074177
서울	강남구	논현동	아파트	펜트힐캐스케이드	서울 강남구 논현동 106	2023-02	130	0	7084	롯데건설	127.035771	37.5181384
서울	서초구	반포동	아파트	래미안원펜타스	서울 서초구 반포동 12	2024-08	641	0	6970	삼성물산(주)	126.9936331	37.5038467
서울	서초구	방배동	아파트	래미안원페를라	서울 서초구 방배동 818-14	2025-11	1097	0	6937	삼성물산(주)	126.9890163	37.4901287
서울	강남구	역삼동	아파트	역삼센트럴2차아이파크	서울 강남구 역삼동 712-5	2022-06	67	0	6703	HDC현대산업개발(주)	127.0464896	37.5000019
서울	강남구	대치동	아파트	디에이치대치에델루이	서울 강남구 대치동 964	2025-08	282	0	6697	현대건설(주)	127.0607097	37.5030136
서울	서초구	방배동	아파트	아크로리츠카운티	서울 서초구 방배동 1018-1	2027-10	707	0	6680	대림산업(주)	127.0015599	37.4788933
서울	서초구	방배동	아파트	디에이치방배	서울 서초구 방배동 946-5	2026-09	3064	0	6560	현대건설(주)	126.9888468	37.4841277
서울	강남구	도곡동	아파트	래미안레벤투스	서울 강남구 도곡동 540	2026-10	308	0	6552	삼성물산(주)	127.0452445	37.4933182
서울	강동구	성내동	아파트	에스아이팰리스올림픽공원	서울 강동구 성내동 459-3	2024-02	58	0	6467	없음	127.1227353	37.5268498
서울	서초구	잠원동	아파트	메이플자이	서울 서초구 잠원동 60-3	2025-06	3307	0	6189	GS건설(주)	127.012628	37.5116527
서울	송파구	신천동	아파트	잠실르엘	서울 송파구 신천동 17-6	2026-01	1865	0	6150	롯데건설(주)	127.1070473	37.5175633
부산	수영구	민락동	아파트	테넌바움294	부산 수영구 민락동 784	2023-11	294	4364	5896	(주)협성건설	129.1285673	35.1571981
서울	용산구	원효로1가	아파트	시온캐슬용산	서울 용산구 원효로1가 28-7	2021-04	90	0	5886	(주)서울건축피씨엠건설	126.9673735634993	37.539156481425245
서울	강서구	내발산동	아파트	삼익랩소디	서울 강서구 내발산동 766	2024-04	45	0	5883	없음	126.8373724	37.5573322
서울	강동구	천호동	아파트	천호역마에스트로	서울 강동구 천호동 334-2	2025-01	77	0	5765	주식회사 한미글로벌이엔씨	127.1248039	37.5431399
서울	서초구	반포동	아파트	래미안원베일리	서울 서초구 반포동 1	2023-08	2990	18220	5693	삼성물산(주)	126.9981769	37.5067995
서울	강남구	도곡동	아파트	도곡코오롱	서울 강남구 도곡동 902-1	2023-09	29	0	5689	코오롱LSI(주)	127.0397887	37.4882127
서울	송파구	가락동	아파트	더샵송파루미스타	서울 송파구 가락동 161-3	2025-10	179	0	5504	(주)포스코건설	127.131065342349	37.4995713645313
서울	영등포구	당산동4가	아파트	e편한세상당산리버파크	서울 영등포구 당산동4가 91	2028-03	550	0	5465	디엘이앤씨 주식회사	126.8961485	37.5299169
서울	송파구	신천동	아파트	잠실래미안아이파크	서울 송파구 신천동 20-4	2025-12	2678	0	5458	삼성물산(주),HDC현대산업개발	127.1113481	37.5183781
부산	수영구	남천동	아파트	써밋리미티드남천	부산 수영구 남천동 545-2	2029-07	835	0	5427	대우건설(주)	129.1110415	35.1373114
서울	강동구	천호동	아파트	VIORR	서울 강동구 천호동 356	2026-05	53	0	5308	(주)대성건설	127.1253711	37.5413345
서울	강동구	성내동	아파트	그란츠리버파크	서울 강동구 성내동 611	2025-03	407	0	5288	DL이앤씨(주)	127.1283796	37.5364525
서울	마포구	아현동	아파트	마포에피트어바닉	서울 마포구 아현동 617-69	2028-07	407	0	5287	HL디앤아이한라	126.9552638	37.5514674
서울	마포구	공덕동	아파트	마포자이힐스테이트라첼스	서울 마포구 공덕동 105-84	2027-03	1101	0	5199	지에스건설(주),현대건설(주)	126.9576194	37.550052
서울	송파구	오금동	아파트	송파더플래티넘	서울 송파구 오금동 67	2024-01	328	0	5177	쌍용건설(주)	127.1360162	37.5029716
서울	서초구	방배동	아파트	방배그랑자이	서울 서초구 방배동 3283	2021-07	758	9516	5150	지에스건설(주)	126.9993481	37.4766707
서울	서초구	잠원동	아파트	신반포르엘	서울 서초구 잠원동 165	2023-06	330	11517	5014	롯데건설(주)	127.013682	37.5170286
서울	서초구	서초동	아파트	지에스타워	서울 서초구 서초동 1675-10	2022-01	54	0	5005	(주)아이에스건설	127.0177455	37.4939959
서울	마포구	신수동	아파트	신수르끌레브	서울 마포구 신수동 400-1	2023-05	27	0	4983	(주)도시이엔씨종합건설	126.9359215	37.5448717
서울	중구	입정동	아파트	힐스테이트세운센트럴2단지	서울 중구 입정동 280	2023-03	608	0	4961	현대엔지니어링(주)	126.9944409	37.5680814
서울	영등포구	당산동6가	아파트	디마크당산	서울 영등포구 당산동6가 331-1	2025-09	192	0	4949	롯데건설(주)	126.901288	37.534515
서울	성동구	성수동1가	아파트	아크로서울포레스트	서울 성동구 성수동1가 685-700	2020-11	280	22374	4938	대림산업(주)	127.04383134395454	37.54459489200776
서울	영등포구	영등포동5가	아파트	리버센트푸르지오위브	서울 영등포구 영등포동5가 32-8	2029-01	659	0	4935	(주)대우건설,두산건설(주)	126.9081636	37.5215854
서울	서초구	서초동	아파트	래미안리더스원	서울 서초구 서초동 1755	2020-09	1317	10911	4918	삼성물산(주)	127.02826041342782	37.490685854224424
서울	영등포구	영등포동2가	아파트	여의도리미티오148	서울 영등포구 영등포동2가 139	2022-11	148	4819	4912	(주)반도건설	126.9121392	37.5193315
서울	송파구	가락동	아파트	에스아이팰리스송파포레	서울 송파구 가락동 166-12	2023-07	77	0	4909	(주)이엔건설,에스테크건설(주)	127.1329384	37.4970574
서울	서초구	잠원동	아파트	반포르엘	서울 서초구 잠원동 163	2022-08	596	13528	4880	롯데건설(주)	127.0028315	37.5075856
서울	송파구	송파동	아파트	잠실더샵루벤	서울 송파구 송파동 171	2025-03	527	0	4877	(주)포스코건설	127.117028504575	37.5001404027447
서울	강남구	일원동	아파트	디에이치포레센트	서울 강남구 일원동 742	2021-01	184	8806	4873	현대건설(주)	127.07891225388556	37.49034527487532
서울	서초구	반포동	아파트	디에이치반포라클라스	서울 서초구 반포동 1343	2021-06	848	12963	4869	현대건설(주)	127.0147145	37.5009181
부산	해운대구	재송동	아파트	르엘리버파크센텀	부산 해운대구 재송동 856-6	2030-06	2070	0	4867	롯데건설주식회사	129.1192276	35.1858135
서울	강남구	역삼동	아파트	강남센트럴아이파크	서울 강남구 역삼동 902	2022-04	499	10399	4836	현대산업개발㈜	127.0457906	37.5005201
서울	강남구	개포동	아파트	개포자이프레지던스	서울 강남구 개포동 1284	2023-02	3375	11560	4831	㈜GS건설	127.07162	37.485251
서울	강남구	개포동	아파트	디에이치퍼스티어아이파크	서울 강남구 개포동 660-1	2024-01	6702	0	4811	현대건설(주), 현대산업개발	127.058861	37.479956
서울	강남구	대치동	아파트	대치푸르지오써밋	서울 강남구 대치동 1032	2023-06	489	11228	4809	(주)대우건설	127.0609687	37.5020014
서울	강남구	삼성동	아파트	래미안라클래시	서울 강남구 삼성동 189	2021-09	679	11894	4778	삼성물산(주)	127.0499834	37.5175015
서울	동대문구	장안동	아파트	에스아이팰리스장안센텀	서울 동대문구 장안동 416-1	2020-11	139	0	4740	(주)성우에스아이	127.06323	37.562386
서울	마포구	노고산동	아파트	빌리브디에이블	서울 마포구 노고산동 107-46	2025-07	333	0	4726	신세계건설(주)	126.936949	37.552812
서울	서초구	서초동	아파트	서초그랑자이	서울 서초구 서초동 1757	2021-06	1446	11480	4682	지에스건설(주)	127.0259732	37.4891287
서울	은평구	대조동	아파트	힐스테이트메디알레	서울 은평구 대조동 88	2026-10	2451	0	4621	현대건설(주)	126.9242459	37.6113217
서울	강남구	대치동	아파트	대치르엘	서울 강남구 대치동 1030	2021-09	273	10783	4617	롯데건설(주)	127.0643176	37.5016102
서울	강동구	길동	아파트	디아테온	서울 강동구 길동 336-1	2026-07	64	0	4615	주식회사에이블피엔지	127.1423975	37.5429792
서울	강동구	길동	아파트	중앙하이츠강동	서울 강동구 길동 415-5	2024-01	96	0	4596	중앙건설(주),동우개발(주)	127.1371088	37.537382
서울	마포구	아현동	아파트	마포푸르지오어반피스	서울 마포구 아현동 613-1	2027-03	239	0	4596	(주)대우건설	126.955858	37.55292
서울	강남구	역삼동	아파트	시티프라디움더강남1차	서울 강남구 역삼동 900	2021-03	151	0	4563	(주)시티건설,(주)시티해양건설	127.03917252202469	37.507527051101974
서울	중구	묵정동	아파트	힐스테이트남산	서울 중구 묵정동 35	2024-01	282	0	4555	현대건설(주)	126.9994365	37.5616647
서울	용산구	한강로2가	아파트	용산호반써밋에이디션	서울 용산구 한강로2가 210-1	2025-03	187	0	4551	(주)호반건설	126.9659843	37.5263776
서울	마포구	아현동	아파트	마포푸르지오더센트럴	서울 마포구 아현동 275-2	2023-10	239	4808	4468	(주)대우건설	126.9562844	37.5543165
서울	서초구	반포동	아파트	아크로리버파크	서울 서초구 반포동 2-12	2016-08	1612	15130	4464	대림산업(주)	126.99302178518774	37.506287700681135
서울	서초구	양재동	아파트	강남월드메르디앙프레스티지	서울 서초구 양재동 11-11	2022-11	29	0	4454	(주)코렘시스	127.0361857	37.4843118
서울	서초구	잠원동	아파트	래미안신반포리오센트	서울 서초구 잠원동 161	2019-06	475	9512	4453	삼성물산㈜	127.0139524	37.5184069
서울	강서구	등촌동	아파트	힐스테이트등촌역	서울 강서구 등촌동 366-24	2026-10	543	0	4437	현대건설(주)	126.8596785	37.5491357
서울	동대문구	신설동	아파트	신설동역자이르네	서울 동대문구 신설동 96-48	2024-11	238	0	4421	자이에스앤디(주),지에스건설(주)	127.025894	37.573919
서울	서초구	잠원동	아파트	신반포자이	서울 서초구 잠원동 160	2018-07	607	12603	4413	㈜GS건설	127.0084003	37.510119
서울	서초구	반포동	아파트	반포센트럴푸르지오써밋	서울 서초구 반포동 1342	2018-09	764	11612	4406	(주)대우건설	127.0179286	37.501561
서울	동대문구	제기동	아파트	제기동역아이파크	서울 동대문구 제기동 892-68	2028-09	351	0	4402	에이치디씨현대산업개발(주)	127.0356346	37.5792625
서울	양천구	신정동	아파트	어반클라쎄목동	서울 양천구 신정동 1328	2023-09	45	0	4381	없음	126.8749488	37.5186759
서울	중구	황학동	아파트	청계노르웨이숲	서울 중구 황학동 1756	2028-07	404	0	4380	(주)유림E&C	127.0203585	37.5693739
서울	서초구	잠원동	아파트	신반포센트럴자이	서울 서초구 잠원동 162	2020-04	756	14242	4359	지에스건설(주)	127.0016399576325	37.50722944573548
서울	강남구	개포동	아파트	개포래미안포레스트	서울 강남구 개포동 1282	2020-09	2296	9663	4356	삼성물산(주)	127.0541432565383	37.47872044676057
서울	성북구	삼선동2가	아파트	창경궁롯데캐슬시그니처	서울 성북구 삼선동2가 296	2027-04	1223	0	4353	롯데건설(주)	127.010294	37.5841227
서울	금천구	시흥동	아파트	W컨템포287	서울 금천구 시흥동 113-16	2024-03	187	0	4328	(주)우남건설	126.8982657	37.4590203
